linkPVID, refSlope, probeSlope, diff
52643864, -0.806346, -0.128416, -0.677930
67192760, 0.641500, -0.006367, 0.647867
759715787, 0.442455, 0.284701, 0.157754
764778213, 0.088571, -1.328625, 1.417197
762800680, -0.748125, 0.068183, -0.816308
786828278, -0.348143, 0.029661, -0.377804
576445142, -1.650400, 0.000000, -1.650400
550100811, 0.922563, -0.032173, 0.954735
576451817, -1.762654, -0.074673, -1.687981
762730873, -0.729700, 0.000000, -0.729700
762620110, -0.132000, -0.027033, -0.104967
550100709, -0.465947, 0.035134, -0.501082
762839543, 0.815290, -0.191592, 1.006883
762466211, -0.035900, -0.004950, -0.030950
565395238, 0.535000, 0.455203, 0.079797
80733477, -1.308375, -0.062502, -1.245873
572228874, -1.994600, -0.002180, -1.992420
763671844, 2.481429, 1.314431, 1.166998
763671838, -1.859389, -0.042296, -1.817093
762383208, 1.264000, 0.024439, 1.239561
764711072, 0.080500, -0.793414, 0.873914
83596190, 0.191909, 0.047784, 0.144126
78681770, -0.919250, 0.002522, -0.921772
761209911, 2.433571, -0.058451, 2.492022
572248403, 0.072167, -0.091093, 0.163260
67985269, -0.989727, -0.038661, -0.951066
79660101, -0.052125, -0.252562, 0.200437
51958012, -0.084583, 5.157860, -5.242443
540640627, -1.486700, 0.013582, -1.500282
765304381, -0.056909, 0.036714, -0.093623
717929350, 1.221000, 0.075930, 1.145070
51550636, -0.944250, -0.160292, -0.783958
78684623, 0.533000, 0.065467, 0.467533
554739836, -0.019333, 0.023310, -0.042644
79791355, -0.049444, 0.035081, -0.084525
67901444, -0.053667, -0.034928, -0.018739
764190023, 0.714375, 0.104960, 0.609415
51733231, 0.007667, 2.309163, -2.301497
79941313, -0.331833, 0.364675, -0.696508
51737069, 0.415900, 0.107916, 0.307984
51737052, -0.084240, 1.236677, -1.320917
759412866, 0.266818, -0.027572, 0.294390
79654406, -0.015571, -0.019699, 0.004128
586499936, -0.088667, -0.032286, -0.056380
61567971, -1.726400, -0.012634, -1.713766
758498885, 0.065091, 0.093360, -0.028269
762723554, 0.243000, -0.012087, 0.255087
792514463, -0.192800, 0.108471, -0.301271
80684017, 0.132667, 0.102303, 0.030364
762854780, -0.252444, -0.106778, -0.145666
51766235, 0.707833, 0.131706, 0.576127
67943606, 1.060500, 0.518825, 0.541675
